"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2005","OAK","88","74","38","572","162","1450.1","6.67","3.13","0.96",".271","73.4%","44.0%","10.2%","","3.70","","4.08","4.14","18.3"
"2016","CLE","94","67","37","665","161","1445.0","8.71","2.87","1.16",".289","73.4%","46.7%","13.7%","93.6","3.86","","3.91","3.80","18.2"
"2002","SFG","95","66","43","579","162","1437.1","6.21","3.27","0.73",".281","74.0%","42.3%","7.3%","","3.55","","3.80","4.28","18.1"
"2013","NYM","74","88","40","697","162","1476.2","7.37","2.79","0.93",".295","72.9%","44.5%","10.0%","93.2","3.78","","3.79","3.86","18.1"
"2013","CIN","90","72","43","623","162","1473.2","7.91","2.66","1.04",".273","77.5%","44.1%","11.5%","94.4","3.38","","3.81","3.68","18.0"
"2009","OAK","75","87","38","650","162","1447.1","6.99","3.25","0.97",".302","70.3%","44.1%","9.2%","91.4","4.29","","4.10","4.24","18.0"
"2010","DET","81","81","32","578","162","1444.1","6.58","3.35","0.88",".296","70.6%","43.8%","8.3%","94.1","4.29","","4.14","4.31","18.0"
"2011","OAK","74","88","39","622","162","1447.2","7.21","3.23","0.85",".289","72.1%","44.1%","8.5%","92.2","3.71","","3.80","3.98","18.0"
"2001","TOR","80","82","41","633","162","1462.2","6.41","3.02","1.02",".306","72.4%","","","","4.28","","4.25","","18.0"
"2013","ATL","96","66","53","628","162","1450.1","7.65","2.54","0.79",".288","77.0%","45.8%","9.4%","93.1","3.18","","3.44","3.58","17.9"
"2019","NYY","103","59","50","707","162","1443.0","9.57","3.16","1.55",".296","75.2%","42.4%","16.8%","93.9","4.31","","4.47","4.27","17.9"
"2018","NYM","77","85","41","663","162","1460.2","8.91","2.98","1.14",".295","73.0%","42.1%","12.2%","93.9","4.07","","3.97","4.03","17.9"
"2004","OAK","91","71","35","576","162","1471.1","6.32","3.33","1.00",".289","72.3%","46.9%","10.5%","","4.17","","4.34","4.43","17.7"
"2007","CHC","85","77","39","640","162","1446.2","7.53","3.56","1.03",".281","73.6%","41.3%","9.6%","91.0","4.04","","4.36","4.36","17.7"
"2011","CLE","80","82","38","645","162","1453.1","6.34","2.87","0.95",".293","69.5%","45.4%","9.5%","92.7","4.24","","4.06","4.09","17.7"
"2012","SEA","75","87","43","613","162","1456.2","7.20","2.77","1.03",".282","74.2%","42.9%","10.6%","92.8","3.76","","4.00","4.09","17.6"
"2016","HOU","84","78","44","662","162","1468.0","8.56","2.78","1.11",".306","73.4%","45.2%","12.6%","92.9","4.06","","3.85","3.87","17.6"
"2009","STL","91","71","43","643","162","1440.2","6.55","2.87","0.77",".292","73.2%","49.8%","8.7%","92.4","3.66","","3.82","3.99","17.5"
"2002","CHC","67","95","23","552","162","1441.1","8.32","3.78","1.04",".296","70.9%","42.2%","11.4%","","4.30","","4.00","3.91","17.5"
"2014","NYY","84","78","48","637","162","1453.0","8.49","2.47","1.02",".298","73.3%","43.7%","11.3%","93.4","3.75","","3.67","3.43","17.5"
"2007","TOR","83","79","44","582","162","1448.2","6.63","2.98","0.98",".282","71.8%","48.7%","10.6%","91.9","4.00","","4.28","4.15","17.5"
"2000","NYY","87","74","40","543","161","1424.1","6.57","3.65","1.12",".290","69.2%","","","","4.76","","4.61","","17.5"
"2009","SEA","85","77","49","572","162","1452.2","6.46","3.31","1.07",".272","73.4%","41.2%","9.7%","92.2","3.87","","4.39","4.46","17.5"
"2013","KCR","86","76","52","589","162","1448.1","7.51","2.91","0.96",".290","76.9%","41.8%","10.0%","94.0","3.45","","3.83","3.90","17.5"
"2008","LAA","100","62","66","545","162","1451.1","6.86","2.83","0.99",".296","73.0%","44.3%","9.8%","92.4","4.00","","4.12","4.17","17.5"
"2018","TBR","90","72","52","715","162","1448.1","8.83","3.11","1.02",".278","73.3%","43.9%","11.5%","94.0","3.75","","3.82","3.98","17.4"
